"sample_id","idx1","idx2","idx3","idx4","idx5","idx6","idx7","idx8","idx9","idx10","cutree.clusters..h...2.4."
"PFAk-GAOX1-anterior-2_2",1,0.415174745219181,0.131562877427855,0.116669223139005,0.101689894697796,0.071965373528126,0.0451957571247204,0.0261565259914794,0.00855512091378489,0,1
"PFAk-GAOX1-anterior-2_3",0.811558637884327,1,0.943976648701875,0.066187634786053,0.0219259860534279,0,0.000740994237596571,0.0113896789375136,0.000724481366972155,0.0765375347468034,1
"PFAk-GAOX1-anterior-2_4",1,0.351611299280593,0.265388919624392,0.18631905152953,0.176292465834693,0.140706070157419,0.0777749355989019,0,0.0176175189979104,0.0403676065307137,1
"GAOX1-HK-posterior_0",0.971793688572721,1,0.848027047255084,0.590525335259646,0.208585954604913,0,0.0118994490240269,0.107002266349501,0.18483841864833,0.517101615563948,1
"GAOX1-HK-posterior_1",1,0.94631188861544,0.851575015693544,0.322177250312823,0.0307183862292116,0,0.0348601050558174,0.0541944139502831,0.105048094998551,0.359427146944188,1
"GAOX1-HK-posterior_2",1,0.106454427682884,0.0329890495219305,0.04001641323112,0.0623406352689363,0,0.053315873315582,0.251288077537426,0.442141833240781,0.937022763442964,1
"GAOX1-HK-posterior_3",1,0.268480796905137,0.10298965798856,0.056911866222046,0.0115599266407497,0,0.0197654525952968,0.147266641286851,0.129071367303321,0.147119733227602,1
"GAOX1-HK-posterior_4",0.669650457556816,0.808851130567294,1,0.657288958560201,0.121508812311008,0.0558703312039246,0.0452640504837642,0.0412208804540355,0.0064659116749526,0,1
"GAOX1-medial-_0",1,0.63249766022679,0.225409759248082,0.244299498640884,0.685502087153498,0.648239006437999,0.288800542078483,0.330059713462943,0.131715497658846,0,2
"GAOX1-medial-_1",1,0.395927969047804,0.356888961748134,0.32193591592123,0.63739905255792,0.598928254828159,0.346027883229832,0.736526289179676,0.664477337252652,0,2
"GAOX1-medial-_2",0.403979387343106,0.813639037175961,0.685224676865037,0.246310804598694,0.173384681898228,0.3729206289299,0.548933502243995,1,0.63390804028044,0,2
"GAOX1-medial-_3",0.0411708914789812,0.562792492193914,0.390365933983632,0.729038654472703,0.884773059940226,0.674430593668748,0.540246208665192,1,0.829349042721085,0,2
"GAOX1-medial-_4",0.711209298612648,0.866345939417906,0.671247444847012,0.508501525405556,0.395171610553668,0.369289959227485,0.701746011084214,1,0.53533829187207,0,2
"GAOX1-anterior-_0",1,0.544528633614742,0.434441574070075,0.628008540235627,0.590816434652851,0.364553993630828,0.0743882744338493,0.0480250365328041,0,0.0248739509661514,1
"GAOX1-anterior-_1",1,0.215863602175628,0.106042854666373,0.160113813996716,0.368378128757925,0.319865676717148,0.095955099434151,0.015909806974997,0,0.269130333856137,1
"GAOX1-anterior-_2",1,0.725562397428015,0.538721895297488,0.251005964287841,0.22479443944011,0.292224591068769,0.269618385167937,0.155164018245261,0,0.0279846908671934,1
"GAOX1-anterior-_3",1,0.359135141031543,0.29712273959348,0.287832552438845,0.204883288596204,0.272732369134237,0.152250525069191,0.15618353565719,0.109357966809162,0,1
"GAOX1-anterior-_4",0.274235037972729,0.173075108488497,0.193411061187272,0.275699166452805,0.264265130326793,0.647613811521537,1,0.368724406671873,0,0.0904943788514479,2
