"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","actin.data.sample_id"
"41",2.93190107935042,0.507694288527231,0.629829829671309,-1.17027243497099,-0.27889636765111,0.134669022813505,0.130890134645255,-0.0911673904726795,-0.223071381835399,-0.0787869537459831,0.367530063021694,-0.00279805798640836,-0.0651170798869874,-0.228883052006304,-0.274033243141662,0.111418259412188,-0.045463283187596,-0.0583348015493102,0.165442719830203,-0.143044391104911,0.104645598150212,0.139903085089645,0.179833943197099,-0.234007755953867,0.0297591929869703,-0.139257842547438,0.00538936472238723,-0.015990738312837,-0.0876868007712857,0.0104723748398982,-0.00255561947375407,0.0138195621238605,-0.0263455152674933,0.00105272935246567,0.0350278069098714,-0.0119735011895056,-0.01712255385355,-0.000972119493718643,-0.00940426614300507,-0.00520088681059892,-0.000940302399729388,0.000497391200606662,0.000512861749719967,1.11022302462516e-16,"L2_D1_GAOX-1_merge_medial_7-12-actin_2"
"42",-1.98900036904164,-0.650005425613902,0.873007671233148,-0.348736240296654,-0.323392648267218,0.00613708681545796,0.0892268645287881,-0.391425831731851,0.0205853758099632,-0.0573268165497667,0.0273216285116555,-0.227117266548137,-0.0250433389861551,0.0145962770319653,0.0617254336833665,-0.121700561218723,0.154627649497555,0.0970133586892249,-0.012041077218542,0.146430674400401,-0.000477882399563312,-0.0325549123721681,0.0406299738213329,-0.0855638945251068,0.117653474427078,0.00889258403832324,0.050446362768875,0.0835855138034816,0.0640266807008988,-0.0472632893553477,-0.0027283247209244,-0.0140039223295459,-0.100608335391263,-0.16458527768523,0.0428337282436826,0.0703838723420858,-0.0442174939407489,0.115695738604848,0.118985307612488,-0.0116784726458605,0.0298397676490529,-0.00318897853930652,0.0158859112978108,2.63677968348475e-16,"L2_D1_GAOX-1_merge_medial_7-12-actin_3"
"43",-0.937197466113886,-0.959587311258567,-1.23998717667248,-1.04557416246919,0.108706444380633,0.223693076402704,-0.21385124450711,0.158771441021869,0.340796026080909,-0.0490634868102717,0.110025432953918,0.00830651191965883,0.18718398831095,0.0445328916148862,0.0984722059182075,-0.18254894724329,-0.106942302272053,-0.106851026782477,0.00386373109515718,0.0931985768597777,-0.0137160323505426,-0.183850839597418,0.228656990725019,-0.0482251200768001,-0.0311123079614988,0.0751783476593179,-0.196342855653531,0.118810379729433,-0.139506071449782,0.0399672478523655,-0.0450446494682391,-0.030291261244445,-0.032853526605191,0.050713218835693,-0.0302558871637248,0.0239438820040443,0.0567266311664416,0.0105660820215064,0.0157778414646344,0.000253164485957713,0.00346333112661651,-0.00320552350916039,-0.00444254046250247,-2.4459601011273e-16,"L2_D1_GAOX-1_merge_medial_7-12-actin_4"
"49",-2.39509750021061,1.07127472049879,0.411110605758129,0.229106811762221,-0.198806381173494,-0.211384585529185,0.353889463876718,0.123729268656309,-0.373870644367097,-0.0665402684378677,-0.0315288255145432,0.0385820263714164,-0.0173694590652521,-0.067675233867298,0.146992475723637,0.086445532498154,-0.0014451795905466,0.0284828809508892,0.0276452391457711,-0.143996231282783,-0.0396432079857249,0.00315537760295444,0.0408814860520974,0.10298143314917,0.0295030935459542,-0.0279575527295463,-0.0701446706646486,-0.054059542715114,-0.0309869400508491,0.0303036916972057,0.0212168455597503,-0.132008809791352,-0.0856886277926252,0.145484875046867,-0.155707356341647,0.00267624462644295,-0.112107955845188,0.0721085685492487,0.0469433629430985,0.0196839894710595,0.0534047039484645,0.0333177619043314,0.00977149931457782,-1.2490009027033e-16,"L2_D1_GAOX1_merge_medial_8-30-2-actin_0"
"50",0.654373389341025,-2.57913284502501,-0.589635252760024,0.852072213961495,-0.3479754001394,0.15388569058067,-0.359849290632437,-0.168619989954377,-0.273409671081447,0.253386185325362,-0.202591778926856,-0.00536420291085453,-0.13152730535303,-0.0769152408813414,-0.0469705123519722,0.0124773448918837,0.000891661457896157,-0.0299788675822869,0.00935741240072644,-0.0907756190313973,0.0102301731276752,-0.0241784525887227,0.0252310562350318,0.0362164302514927,-0.0148531034654495,-0.0141239020503189,-0.0114697799893839,0.0511765017646774,-0.0077308295484719,-0.0139586878196915,-0.0106848966094092,-0.00217731816755104,0.0202922971013467,0.0323942025204569,0.000546090738624879,-0.0186485325363091,0.0180683008401671,-0.0406260746577351,0.034989168534435,-0.0579468614757923,0.0328895863355335,-0.0711608592994873,0.161134976508379,-5.89805981832114e-17,"L2_D1_GAOX1_merge_medial_8-30-2-actin_1"
"51",-0.230929523703879,-2.50859282554856,-0.465087780527061,0.620593928800537,-0.368792131122021,0.177075792563801,-0.376153492176874,-0.236227981658173,-0.236552948984907,0.229350971117431,-0.0937001745262455,-0.07212029548268,0.019592344323896,-0.0525515100641695,-0.0590030351615994,0.00502714060793116,0.0433897820877534,-0.0358090197397848,0.0113620021214475,-0.0595703318868727,0.018412280195581,-0.0512484676810899,0.0554187929308292,0.0186370539310639,0.0188988878655159,-0.00830566380045725,0.0230169805416225,-0.029244502388268,0.025415594503863,-0.00917909718183628,0.0179662649812186,-0.0378061693021901,0.0186823696456254,0.0082612250544816,0.00864304483471943,0.0406797300020669,0.0229003342821061,0.0544129873538371,-0.0322420304742753,0.201906579691366,-0.105440364271512,0.0122715315540056,-0.0201733062219458,-4.25007251614318e-17,"L2_D1_GAOX1_merge_medial_8-30-2-actin_2"
"52",-0.103118964293326,-2.26490215636134,-1.08463979513865,-0.165714422660172,0.13171331881798,-0.388818689798516,-0.141550887013945,0.0677691335834406,-0.118248528356194,-0.169476153602462,0.100722012073951,-0.00240351621191462,-0.0168523056676539,0.025995020462935,0.134395580979666,-0.0177258519837745,-0.131597766318973,-0.00326932232679888,-0.00878084896253043,-0.0281577849279043,0.0568039820923957,0.0750032481946015,0.0731414480457582,0.128492630176717,-0.00991175572308489,-0.0685036137605115,0.111732273721074,-0.171699629430057,0.0331138541839456,0.028438555824733,-0.0347275977825435,0.0193304305648745,-0.107145243296034,-0.00749612444843985,0.0300585282832434,0.00736304005615978,0.109844169291617,-0.091669326978516,0.148191873580553,-0.0172070756658338,-0.00934443841375874,0.0205344045772153,-0.0362725935625893,-9.0205620750794e-17,"L2_D1_GAOX1_merge_medial_8-30-2-actin_3"
"53",4.44275122480465,1.8913038956963,-0.657873152535935,0.0737554025560262,0.0151161711064108,0.402834884495215,0.0614108782622226,-0.368960799854837,0.0632003079219651,-0.443730831586693,-0.369814314576023,-0.24695470822845,0.214726237919238,0.0839122487457659,0.0220695002458985,0.0875387767595837,0.136163200316136,-0.148923616684269,-0.274469153175943,-0.0111517357870337,-0.134010636677159,-0.0149902976010393,0.0307416769627999,0.0250196121528907,-0.0481801327159284,-0.202785983323612,-0.0129393773525878,-0.010335829371976,-0.0109684416659376,-0.00073216506292749,-0.0110169976367427,-0.00283538749503803,-0.00209210160967591,-0.0012431155761243,-0.0129395325946647,-0.0141332352609795,0.00213768510529677,0.00168207964260644,0.00330377049324701,0.00284648539547658,0.00204124422735043,-0.000399569623049267,0.00111862961387615,-1.52655665885959e-16,"L2_D1_GAOX1_merge_medial_8-30-2-actin_4"
"54",4.21332808285112,0.11585075298595,-0.337555836334801,-0.526568959454081,-0.0583103803222084,0.518342671562087,0.33673610130347,-0.0620788835309529,-0.14370594336992,-0.434348648373265,-0.196258833887826,-0.0326155426496682,-0.0572224627270572,-0.0754260066464455,-0.0147719945054423,0.0506072899673941,-0.0344014492370856,0.0210383461295781,0.0881757804048346,-0.0159970852728721,0.238130334337018,-0.141189676234187,-0.127991895839016,0.0389930315541041,0.112922420100071,0.28260125752128,0.0262189050991084,-0.0259287695499638,-0.00119886076797187,-0.0184585596418317,-0.0300394829370613,-0.0368008892154593,-0.00465465791264108,0.0463856892649524,0.0368449818907378,0.0217135534253178,0.00659588614071283,-0.00382458502477928,0.00537917515223736,0.000503886562443129,-0.00193598319751343,-0.00119180899198688,-0.00124519693727227,-1.52655665885959e-16,"L2_D1_GAOX1_merge_medial_9-21-2-actin_0"
"55",0.59478689951651,-2.5970608173518,-0.477463353085622,0.892927357261474,-0.27667054730197,0.267640983330189,-0.41286832868068,-0.321987665221121,-0.148590705890935,0.243546853449691,-0.213669860761925,0.0381799608163411,-0.158242867633219,-0.149261393926663,-0.0494986917538109,0.0161529051305155,0.0542853781100628,-0.0291599100815861,-0.0217198561444244,-0.0684137490617868,-0.00604809390957445,0.0120591486640904,-0.0143893002385348,-0.00396774348530233,0.0256991786812833,0.0169260064564698,-0.0430520698776754,0.103849734162929,-0.0181874023920861,0.00417498143717397,0.0169388143619058,0.00983919906826246,0.032718501255073,0.00250401157166685,-0.0183786825503122,-0.019992212766539,-0.0340844687071686,-0.0127416145087026,-0.00269468050908448,-0.102095537577765,0.0515766572572323,0.0550340103291943,-0.136305796106363,-6.41847686111419e-17,"L2_D1_GAOX1_merge_medial_9-21-2-actin_1"
