"sample_id","idx1","idx2","idx3","idx4","idx5","idx6","idx7","idx8","idx9","idx10","cutree.rfp.clusters..h...1.85."
"L2_D1_GAOX1_merge_anterior_9-21_0",0.335248947169822,0.366534635665297,0.471576443813126,0.720152826781319,0.508125761552796,0.866712788628457,1,0.559806938776226,0.229268716514942,0,1
"L2_D1_GAOX1_merge_anterior_9-21_1",0.125457917993519,0.448924913271194,0.708627802126072,0.769419719157624,0.872284447679107,0.993413921898695,1,0.351299271169002,0,0.12773169433727,1
"L2_D1_GAOX1_merge_anterior_9-21_2",0.250761159029219,0.60637317378681,0.949217037125079,0.97436628944831,1,0.933018005428706,0.849243501704071,0.375067270185934,0,0.0492916894932396,2
"L2_D1_GAOX1_merge_anterior_9-21_3",0.140004644566272,0.538263761601048,0.862836005341251,0.957482866250315,1,0.711519906666335,0.195714558227103,0,0.00801491790452657,0.0784564005164314,2
"L2_D1_GAOX1_merge_anterior_9-21_4",0,0.172824647382457,0.360314406762592,0.528256489899279,0.747513264494594,1,0.993335772029785,0.610120209227091,0.254990482007265,0.166040661997216,1
"L2_D1_GAOX1_merge_medial_8-30-2_0",0.0820597691397441,0.0767655004577016,0.502669461251646,0.865233372033312,1,0.984689321038648,0.922518642970372,0.712623356181205,0.210358570184643,0,1
"L2_D1_GAOX1_merge_medial_8-30-2_1",0,0.170468314068101,0.397877659037672,0.611355987767032,0.814579584181887,0.961270521217455,1,0.891493210627564,0.531209550691035,0.140757170320699,1
"L2_D1_GAOX1_merge_medial_8-30-2_2",0,0.0412755891982973,0.116679811608957,0.156258406691872,0.305224854366329,0.5476053596084,0.821851604038705,1,0.7419697515209,0.38164886087065,4
"L2_D1_GAOX1_merge_medial_8-30-2_3",0.092057943409397,0.195298726738492,0.419333228716295,0.710150919096758,0.998699141238413,1,0.8422541003566,0.565224214154685,0.196996769498,0,1
"L2_D1_GAOX1_merge_medial_8-30-2_4",1,0.740284485811558,0.634285602549814,0.570144850076804,0.249977730414171,0,0.238945594858659,0.164551599173527,0.0796148556604947,0.868042383910279,3
"L2_D1-2_GAOX-1_merge_anterior_7_0",0.242311744077117,0.637232151252486,0.884291691769778,1,0.919418141800946,0.751673782600671,0.647489630818843,0.35682868475948,0.0922321686650482,0,2
"L2_D1-2_GAOX-1_merge_anterior_7_1",0.376753092802045,0.731520401922726,0.935909488029928,1,0.976601923711367,0.831863423902302,0.659107154943324,0.39934262161969,0.225665855577442,0,2
"L2_D1-2_GAOX-1_merge_anterior_7_2",0.595483588657534,0.708108851966253,0.953791155919479,1,0.902603477040923,0.810305363380206,0.654146735435749,0.470880516726772,0.0596251545577729,0,2
"L2_D1-2_GAOX-1_merge_anterior_7_3",0.396209015978085,0.481400862027581,0.782676108957453,1,0.908389353462245,0.834355517994255,0.706140383630224,0.426818868166876,0.0890880605062198,0,2
"L2_D1-2_GAOX-1_merge_anterior_7_4",0.53087052079142,0.50140091045571,0.627504791901393,0.833402968745938,1,0.892770166700624,0.604444287189254,0.238087956358204,0,0.0784403208035508,2
