sample_id,idx1,idx2,idx3,idx4,idx5,idx6,idx7,idx8,idx9,idx10,idx11,idx12,idx13,idx14,idx15,idx16,idx17,idx18,idx19,idx20,idx21,idx22,idx23,idx24,idx25
26-L2_D1-2_GAOX-1_rfp_anterior__0,0.69389501836957,0.573880424189364,0.410033640434633,0.32774615620716,0.347700681682355,0.435811901442901,0.561856666292485,0.711633632508221,0.860766904353789,0.955718356710987,1,0.997030643967657,0.931933022250681,0.90054704222328,0.876550917455016,0.873632081413837,0.871429235592249,0.826818341326343,0.686492097595477,0.525658221589609,0.339700231357606,0.238266541513551,0.15787584341982,0.103462219920272,0
26-L2_D1-2_GAOX-1_rfp_anterior__1,0.76500248579823,0.756991456737879,0.631282291437921,0.446235778370026,0.422492210034793,0.474009663395695,0.525609149386382,0.576300230493483,0.773487023137032,0.976819117793686,0.882106881680556,0.772763294726526,0.72597611486698,0.790150089998005,0.794043548230712,0.805834124217085,0.913408994235473,1,0.897971470130014,0.680301665720984,0.492854495911121,0.30601741802126,0.182860779754842,0.119094992531441,0
26-L2_D1-2_GAOX-1_rfp_anterior__2,0.4186265568137,0.228664645168172,0.118804545807111,0.180780524136915,0.288245410525564,0.429731635140342,0.524550854301542,0.614378263347876,0.721780217183387,0.859730890962901,0.84371078023622,0.878217957772571,0.984886118038499,1,0.941572159016087,0.910854779829676,0.859445177171657,0.741893461166131,0.632671497893883,0.569902569394546,0.456826616568159,0.354693690744085,0.221747098927299,0.112590428178932,0
26-L2_D1-2_GAOX-1_rfp_anterior__3,0.472524576762066,0.352698154976802,0.368647100930566,0.435670753659328,0.531830961660227,0.677664052716787,0.793501011129226,0.876567138955853,0.948293971502313,1,0.985077647746974,0.94702019363502,0.913965435290328,0.948556248996355,0.870193424703225,0.883173686342345,0.90713867378148,0.83752750511503,0.755042470396665,0.499000252627662,0.222577094118774,0.177662073264001,0.155560245758961,0.106264448458885,0
26-L2_D1-2_GAOX-1_rfp_anterior__4,0.473146493687288,0.36767858791681,0.365518375000381,0.454830850965602,0.536285793429259,0.639224149739587,0.72169578235931,0.730980943654869,0.711940833097425,0.817855189635037,0.979653006287853,1,0.901171020068976,0.860548058903091,0.861450092384869,0.837162155991927,0.772860054933737,0.708654346654815,0.752703817458457,0.722471997897623,0.638782772276625,0.451486528855432,0.260586210150464,0.136420134523733,0
15-L2_D1_GAOX1_RFP_anterior_8-30_0,0.353548158178334,0.428507396169458,0.616237410362401,0.732674981598864,0.688596109829157,0.815957588876708,0.927071719395884,1,0.962960921267986,0.875102875546211,0.828464149619088,0.723013997285638,0.637169206592731,0.519533931072608,0.417306694907622,0.356241323515253,0.30412263075676,0.296645713700072,0.273522396588725,0.23859906022218,0.194199527315981,0.177589591013413,0.139885121012699,0.159888785711402,0
15-L2_D1_GAOX1_RFP_anterior_8-30_1,0.434207824285487,0.513671690654625,0.590347948336852,0.689898157290282,0.823161551492136,0.959393161970884,0.956211689808895,0.85260961903868,0.878045419509319,0.916800335096544,0.928501622993639,0.935950991435814,0.95668752134404,0.956606942573125,0.94094756987712,0.980617332372061,1,0.962077268615845,0.730792578174215,0.655839039042585,0.504903192161006,0.282027868966762,0.108130545597295,0.0255310536082401,0
15-L2_D1_GAOX1_RFP_anterior_8-30_2,0.296828104659563,0.267997724488621,0.282012291949506,0.300744427265652,0.321140617529116,0.346749194671394,0.403878141479571,0.488201194294469,0.502893598902729,0.5348694198493,0.618193620890032,0.732667199480681,0.835705286375899,0.920466340230832,0.947389269498026,1,0.952225429188668,0.815775017537492,0.651443658408049,0.557155122169135,0.427964010623706,0.260305588614067,0.101773991463342,0.0328783473924105,0
15-L2_D1_GAOX1_RFP_anterior_8-30_3,0.171556110761899,0.0758640453920927,0.0263752451566452,0.0473975033819088,0.120898462812913,0.277413000439146,0.42069664118561,0.510733903450176,0.61560012072647,0.753694598682739,0.886203821518235,0.967010410339732,1,0.941402400884738,0.826912950430833,0.668418834300713,0.507595633446354,0.449160999855188,0.492759122604216,0.528194495317507,0.523945076668741,0.481894672558154,0.355610742555857,0.180077517422997,0
15-L2_D1_GAOX1_RFP_anterior_8-30_4,0.692449294127167,0.586967560747732,0.545892493250252,0.493430122635749,0.388910918039299,0.292425476896366,0.266034146000544,0.325608304948834,0.354184567905776,0.435114782499945,0.557849202904415,0.697904175647939,1,0.996881506058221,0.80407532130272,0.678776088603777,0.654359472820769,0.538521658047097,0.456518840441106,0.383198093150201,0.326707116110379,0.287637661754861,0.203396392287263,0.100997013190516,0
16-L2_D1_GAOX1_RFP_medial_8-30-2_0,0.40439139360971,0.412159044799634,0.358534214487685,0.338285521596944,0.42964495761793,0.569350706045258,0.775817792403068,0.891450517132496,0.846923857810439,0.759717362628508,0.787057775753883,0.890276116333448,0.93473670281991,1,0.959845842134396,0.859813527840067,0.869205342883372,0.811215290821193,0.599668869844905,0.481706142116179,0.456442404060708,0.436617132797366,0.383168301808551,0.172659019700727,0
16-L2_D1_GAOX1_RFP_medial_8-30-2_1,0.293996969409125,0.296529819899669,0.269293486039987,0.380477070525448,0.502824689178123,0.543767348269636,0.620031359921081,0.750175226773002,0.745939463318358,0.780245676501681,0.836219117834441,0.894821203718175,0.943481337748227,0.954859534114889,0.985961810823168,1,0.945871635570295,0.816155371191016,0.624802959253455,0.5399250901554,0.399166297350483,0.277888767768792,0.244731555749131,0.189987749189159,0
16-L2_D1_GAOX1_RFP_medial_8-30-2_2,0.335402502287242,0.300421427237522,0.310428052434269,0.31772259148619,0.330325016224879,0.409893852550399,0.513461744092553,0.605375979160668,0.562992772781593,0.532925078401382,0.571753392462394,0.622986335358125,0.775244079602104,0.917011033400881,1,0.97865543102209,0.844374834830458,0.725108251899001,0.671108339929046,0.563728530072736,0.39810923779928,0.209988487867824,0.0998917616858828,0.0715524871295304,0
16-L2_D1_GAOX1_RFP_medial_8-30-2_3,0.251142057155318,0.290657856027518,0.366688089796103,0.355209214963,0.390481341510331,0.389569349838195,0.352474145149245,0.313576229378352,0.317681776007604,0.389649007671592,0.482428206114644,0.586258571137613,0.809451220892077,0.940618706012809,0.976007151100953,1,0.928297992713119,0.920987576093598,0.909000882572586,0.830287175541424,0.760264771775781,0.70454456991559,0.542397881825794,0.140951820588834,0
16-L2_D1_GAOX1_RFP_medial_8-30-2_4,0.72184875233362,0.497068824530694,0.39507928709898,0.50731762956425,0.597761539224064,0.535661074630713,0.600874947578611,0.782911988465744,0.878869404896201,0.971297602669824,1,0.967347979121728,0.850278426348681,0.847063937036672,0.828733249995147,0.704095260532148,0.611200539680421,0.539951731545518,0.402427298382831,0.21733416663862,0.142285346259137,0.179637918821194,0.214284680503195,0.184918767092589,0
13-L2_D1_GAOX1_medial_9-21-23.t_0,0.303263498952759,0.252014946959518,0.255268750512848,0.311140839085249,0.480504568756427,0.594130982783446,0.75440991690378,0.832023079176345,0.950296637965534,1,0.987393917890281,0.909775025476209,0.857461125573988,0.817716176464521,0.814393955021598,0.898195211710392,0.826498764352285,0.648192117433978,0.413549011275543,0.251475969849371,0.19857209457759,0.187979354987767,0.165014666870201,0.100434023838306,0
13-L2_D1_GAOX1_medial_9-21-23.t_1,0.309590451268709,0.264281412678444,0.253386592980423,0.261485793180832,0.433660711330379,0.520234427220666,0.684681624421618,0.794746164179065,0.914713959785466,0.998700656065697,1,0.929792564557022,0.876758186295416,0.833741960510327,0.833191171081197,0.920735614644569,0.870280516841941,0.68694800504926,0.431004515616059,0.251896151546389,0.189089011429416,0.178297181972683,0.165378276607737,0.104013476124243,0
13-L2_D1_GAOX1_medial_9-21-23.t_2,0.560095833224434,0.489437213487585,0.529071378721159,0.583625636712234,0.676456478589755,0.884369618500473,0.932124788313399,0.966089962195984,0.965514117906879,0.972666771008436,0.871190746238181,0.931466625473425,1,0.98442116605205,0.954090346551185,0.91558088020701,0.809220685679654,0.704552937424159,0.613375599553216,0.532459548584235,0.460574825841459,0.384903449758681,0.318706225582077,0.227881103150102,0
13-L2_D1_GAOX1_medial_9-21-23.t_3,0.463916673189841,0.502307979089237,0.561636651048809,0.643001984303762,0.744820403823114,0.777413381512633,0.832536060227799,0.916144106807653,1,0.961916584535902,0.745081568937946,0.582828225304971,0.512839801685969,0.619042764027062,0.742878964206295,0.721117756074232,0.680902155546023,0.73939900793997,0.745460151194088,0.492475811609631,0.295280994374693,0.263262702406791,0.214534282590452,0.157448732185738,0
13-L2_D1_GAOX1_medial_9-21-23.t_4,0.592813329321564,0.502553364727617,0.505989141015115,0.616198416590766,0.868797355860308,1,0.980329313477344,0.869559879166244,0.746389067823761,0.753513491084735,0.733378046267003,0.62678514460394,0.570824368639545,0.554441171088871,0.565369198003699,0.614196197722769,0.654276116423228,0.733074499411272,0.802723793107905,0.662636494052522,0.384564276769431,0.260670564763805,0.183748050327899,0.117224353946857,0
